id,created_at,username,followers,text,source,url,place_type,name,full_name,country_code,country,language
1251395114468950016,Sat Apr 18 06:20:19 +0000 2020,lemonmasamm,442,@bangmuehhh Oh u pernah pakai eh. Skrng u pakai hada labo ke?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/f7a6bc3ea40472cc.json,admin,Kelang,"Kelang, Selangor",MY,Malaysia,in
1251395115517648896,Sat Apr 18 06:20:19 +0000 2020,roedy42,49,"Corona 

Karona 

🚈🚈🚈 @ Stasiun Luar Angkasa ""roe "" https://t.co/oGE0EoWx4N","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",https://api.twitter.com/1.1/geo/id/83debb238f8e5007.json,city,Sungai Sembilan,"Sungai Sembilan, Indonesia",ID,Indonesia,in
1251395116402524160,Sat Apr 18 06:20:20 +0000 2020,ienaranie,549,@putriweda Apalagi aku yg menghadapi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/cf712fd91280ebff.json,city,Denpasar Barat,"Denpasar Barat, Indonesia",ID,Indonesia,in
1251395118935928833,Sat Apr 18 06:20:20 +0000 2020,shafira_dnr,25,"Kok ada ya orang yang pgn punya pacar tp gapengen pacaran. Trauma kalo buat nglakuin lagi, ngrasa takut[bangett]. B… https://t.co/dsZFUjd1Sy","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/4f79154a79779735.json,admin,Wonogiri,"Wonogiri, Jawa Tengah",ID,Indonesia,in
1251395125873266688,Sat Apr 18 06:20:22 +0000 2020,callme0laa,249,Oh soo ah emang anjing si,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/413c7bba7bac61a4.json,admin,Kalimantan Tengah,"Kalimantan Tengah, Indonesia",ID,Indonesia,in
1251395129299988480,Sat Apr 18 06:20:23 +0000 2020,slalubenarr,548,@behome_id Sangat sangat membutuhkan rangkulan😢👉👈,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/ce7988d3a8b6f49f.json,country,Indonesia,Indonesia,ID,Indonesia,in
1251395128796647424,Sat Apr 18 06:20:23 +0000 2020,aquateenboys,1431,Butuh banget vitamin C. (Curug). Orang maunya di yang rame gua maunya di yg dalem https://t.co/zDHE1cTIzl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/f48804e2e35d1099.json,city,Pasar Minggu,"Pasar Minggu, Indonesia",ID,Indonesia,in
1251395134802890752,Sat Apr 18 06:20:24 +0000 2020,nazilasyiam,239,Degdegan adalah bumbu kompetisi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/d1bc203639a00a5b.json,city,Gunungsari,"Gunungsari, Indonesia",ID,Indonesia,in
1251395136711307266,Sat Apr 18 06:20:25 +0000 2020,tashaderose,72,@dolaiman_ @adrnadh ajar dia sikit nana,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/13fc663a08fc7a4e.json,city,Bintulu,"Bintulu, Sarawak",MY,Malaysia,in
1251395137118191619,Sat Apr 18 06:20:25 +0000 2020,gifsarsyh,310,@dhendanovitris Gua punya kambing bisa ngehibur,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/d16052cf1200267a.json,city,Menteng,"Menteng, Indonesia",ID,Indonesia,in
1251395138414276608,Sat Apr 18 06:20:25 +0000 2020,springbomnalday,131,sumpah gapunya bteri baru anyink 😭,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/135bec04be9a875c.json,city,Sukoharjo,"Sukoharjo, Indonesia",ID,Indonesia,in
1251395140222021632,Sat Apr 18 06:20:25 +0000 2020,hans_omans,1321,@ashrfmhnr Jadi ariana grandeee kewww skssks,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/17547b2136215c08.json,city,Petaling,"Petaling, Selangor",MY,Malaysia,in
